Country,Region,Gender,Ageyears,Handed,Height,Foot_Length,Arm_Span,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_enery,Importance_owning_computer,Importance_Internet_access
CA,Nova Scotia,F,14,B,155,21,155,1,Bus,60,0.516,31,Other activities/sports,1000,1000,610,722,283,390
UK,South,M,15,B,187,29,182,2,Walk,30,0.35,49,Football/Soccer,1000,1000,1000,1000,1000,1000
NZ,Auckland,F,13,R,166,25,168,1,Car,5,0,0,Swimming,750,,500,,,
CA,Ontario,M,17,R,176,27,177,1,Cycle,15,0.468,32,Tennis,524,283,390,476,759,797
USA,CA,M,15,L,184,29,191,1,Car,14,0.338,54,Athletics,562,723,823,725,524,423
NZ,Manawatu-Wanganui,F,12,R,171,32,171,1,Car,5,0.439,0,Basketball,500,,500,,,
NZ,Canterbury,M,9,R,148,45,151,2,Walk,5,0.625,0,Rugby Union,1000,,1000,,,
OZ,South OZ,F,13,R,151,22,144,1,Bus,40,0.29,35,Tennis,450,509,661,651,261,421
USA,CA,M,17,R,170,27,168,1,Walk,20,0.434,38,Football/Soccer,350,350,350,350,200,200
UK,North West,M,12,L,168,31,123,1,Bus,10,0.73,48,Football/Soccer,410,248,27,212,863,1000
CA,Ontario,M,13,R,162,26,171,4,Bus,5,0.364,50,Athletics,134,43,503,144,1000,1000
NZ,Auckland,F,13,R,160,23,161,2,Car,5,0.462,0,Basketball,750,,500,,,
CA,Ontario,F,13,R,145,22,147,2,Rail,19,0.281,26,Skateboarding/Rollerblading,1000,1000,1000,1000,59,43
OZ,Victoria,M,10,R,129,20,130,1,Car,7,0.34,35,Football/Soccer,834,858,1000,840,320,326
NZ,Waikato,F,13,R,167,24,169,1,Walk,15,0.422,0,Swimming,500,,250,,,
OZ,New South Wales,F,12,L,160,23,160,2,Bus,15,0.37,65,Rowing,1000,291,823,1000,1000,1000
CA,Ontario,F,13,R,165,25,165,2,Walk,1,0.484,39,Football/Soccer,893,898,904,882,979,979
NZ,West Coast,F,9,R,139,21,139,6,Walk,5,0.549,0,Netball,750,,1000,,,
USA,CA,F,16,R,158,22,151,1,Car,8,0,49,Other,850,800,900,650,700,750
CA,Newfoundland and Labrador,M,13,R,157,23,155,2,Bus,30,0.562,46,Basketball,481,348,476,829,519,513
NZ,Auckland,F,11,R,149,24,150,3,Car,45,1.92,0,Tennis,1000,,750,,,
CA,Ontario,F,15,R,140,27,140,1,Car,5,0.463,42,Basketball,348,535,439,620,813,1000
OZ,New South Wales,F,13,R,157,22,154,2,Car,10,0.44,51,Netball,569,563,1000,850,,
USA,SC,F,16,R,158,21,151,2,Car,11,0.296,39,Baseball/Softball,900,900,900,900,900,900
CA,Ontario,M,13,R,167,25,164,2,Walk,14,0.391,55,Tennis,802,807,1000,353,11,16
OZ,New South Wales,M,9,R,136,21,135,3,Bus,7,0.59,55,Rugby League,1000,1000,1000,1,,
USA,VA,F,16,B,168,24,168,2,Car,30,0.435,36,Swimming,1000,1000,503,503,203,604
UK,North West,F,14,L,164,23,168,2,Car,45,0.32,56,Swimming,687,669,772,611,168,163
OZ,Victoria,F,11,R,150,25,146,1,Car,3,0.39,66,Swimming,1000,793,1000,823,273,373
CA,Ontario,M,12,R,150,24,149,1,Bus,12,0.261,48,Football/Soccer,529,406,535,1000,310,545
UK,North West,M,13,R,180,30,161,3,Walk,40,0.32,28,Martial Arts,548,0,0,0,0,0
CA,Ontario,F,13,L,149,20,149,1,Car,10,0.328,71,Dancing,695,711,567,1000,1000,920
USA,GU,M,12,L,155,24,158,1,Car,12,0.487,0,None,775,550,600,665,400,45
OZ,New South Wales,F,16,R,153,20,160,1,Bus,45,0.43,33,Dancing,1000,1000,1000,1000,635,1000
OZ,New South Wales,M,10,R,144,29,128,1,Walk,8,0.32,35,Rugby League,846,1000,492,273,190,143
CA,Ontario,M,13,R,143,24,148,1,Car,2,0.345,34,Hockey (Ice),1000,1000,1000,1000,21,16
UK,North West,F,13,R,148,21,156,3,Walk,20,1.32,99,Basketball,819,727,767,742,239,375
UK,Home Counties,M,13,R,166,28,167,3,Car,25,0.39,43,Football/Soccer,1000,758,754,743,1000,1000
CA,Alberta,F,11,R,150,24,147,2,Bus,10,0.906,46,Walking/Hiking,930,936,695,968,53,53
CA,New Brunswick,M,14,R,165,23,165,1,Car,3,0.343,48,Rugby League,979,1000,1000,1000,1000,1000
OZ,New South Wales,M,11,L,145,22,140,1,Car,10,0.41,44,Other activities/sports,994,306,521,318,671,677
NZ,Auckland,F,10,R,128,18,124,1,Car,5,0.641,0,Gymnastics,500,,500,,,
OZ,Western OZ,M,14,R,194,24,82,1,Car,10,0,78,Golf,840,557,657,852,320,598
CA,Quebec,M,15,R,177,29,184,2,Bus,60,0.271,48,Football/Soccer,465,476,1000,492,658,749
USA,MD,M,15,R,169,24,175,2,Bus,50,0.319,49,Baseball/Softball,861,428,342,481,615,765
CA,Ontario,M,17,R,174,29,175,2,Bus,20,0.265,54,Hockey (Ice),561,396,599,246,813,845
CA,Ontario,F,17,R,160,20,130,1,Bus,55,0.45,42,Hockey (Ice),43,59,262,374,1000,1000
UK,North West,F,14,R,156,23,157,2,Walk,5,0.4,59,Football/Soccer,917,1000,931,922,752,763
OZ,Victoria,M,14,R,165,27,158,1,Bus,30,0.36,34,Football/Soccer,320,509,740,492,675,681
USA,IL,M,12,R,159,26,162,1,Car,2,0.751,45,Football/Soccer,900,450,500,750,400,850
CA,Ontario,F,17,R,165,24,133,1,Walk,30,0.407,38,Walking/Hiking,326,503,594,460,791,1000
OZ,Victoria,F,10,B,155,24,154,1,Walk,20,0,42,Athletics,864,1000,1000,710,226,214
OZ,Victoria,F,11,R,154,24,163,1,Car,4,0.39,43,Basketball,769,533,1000,184,190,167
CA,Ontario,F,17,L,176,24,168,1,Bus,45,0.558,57,Rugby League,508,326,497,829,968,904
OZ,Queensland,M,14,R,189,27,195,1,Cycle,10,0.32,49,Cycling,740,326,882,249,48,143
OZ,Queensland,M,14,R,180,30,182,1,Bus,15,1.42,94,Rugby Union,769,764,840,728,775,752
UK,Home Counties,M,12,R,147,23,143,1,Bus,30,0.35,64,Football/Soccer,823,640,889,890,694,821
CA,Manitoba,M,13,R,155,26,159,2,Walk,4,0.391,46,Basketball,209,444,476,471,326,503
CA,Quebec,F,6,R,158,23,155,2,Car,5,0.391,36,Dancing,775,706,524,529,187,53
USA,CA,M,17,R,168,24,200,2,Car,15,0.251,45,Cycling,594,590,500,1000,1000,1000
OZ,Queensland,M,12,R,160,24,146,1,Car,2,0.42,36,Football/Soccer,764,503,752,758,243,527
USA,RI,M,12,R,149,22,149,1,Car,2,0.373,55,Baseball/Softball,1000,1000,497,428,1000,1000
OZ,Victoria,M,12,R,165,35,165,1,Cycle,2,0.46,36,Other activities/sports,1000,1000,1000,1000,,
NZ,Wellington,F,10,R,146,21,144,1,Walk,5,0.576,0,Netball,1000,,250,,,
OZ,South OZ,F,14,R,168,22,163,1,Car,15,0.45,35,Dancing,1000,1000,728,882,604,840
USA,OH,M,16,R,178,29,181,1,Car,10,0.25,30,Basketball,300,300,200,200,500,800
OZ,Western OZ,M,12,R,146,23,147,1,Car,2,0.31,43,Football/Soccer,202,226,492,350,651,775
OZ,Western OZ,M,14,R,162,27,170,1,Car,5,0.29,25,Football/Soccer,551,710,515,846,521,338
OZ,New South Wales,M,11,B,139,18,130,1,Walk,3,0.39,85,Running/Jogging,1000,1000,921,905,332,202
UK,London,M,12,R,151,26,152,3,Walk,8,0.39,37,Football/Soccer,1000,879,678,557,702,669
OZ,OZn Capitol Territory,M,11,L,140,22,137,1,Car,5,0.53,56,Golf,604,1000,870,214,391,592
CA,Ontario,F,17,R,160,29,150,1,Other,5,0.469,37,Baseball/Softball,465,481,679,695,492,492
OZ,New South Wales,F,14,R,165,26,168,1,Bus,15,0.42,39,Netball,1000,894,823,752,545,693
OZ,New South Wales,M,14,R,158,23,165,3,Bus,15,0.34,41,Football/Soccer,634,693,769,651,1000,1000
CA,British Columbia,M,11,R,139,26,117,4,Walk,1,0.569,45,Other activities/sports,1000,1000,1000,1000,417,294
USA,CA,F,15,R,165,25,174,1,Car,25,0.334,45,Basketball,476,610,727,273,749,813
USA,MI,M,17,R,185,27,184,1,Car,10,0.297,33,Football/Soccer,332,225,439,572,187,139
CA,Ontario,F,17,R,154,24,163,1,Bus,20,0.359,45,Baseball/Softball,481,476,465,465,690,578
NZ,Nelson,M,12,L,153,24,165,1,Cycle,5,0,0,Other activities/sports,750,,500,,,
CA,Newfoundland and Labrador,M,12,B,148,25,118,2,Car,4,0.327,58,Football/Soccer,1000,1000,1000,1000,1000,1000
NZ,Auckland,F,15,R,174,25,184,2,Car,15,0,0,Netball,500,,1000,,,
USA,MN,M,16,R,183,26,183,1,Bus,40,0.417,39,Other,500,700,100,400,700,900
OZ,South OZ,M,11,R,150,23,149,1,Car,5,0.5,41,Football/Soccer,799,811,811,1000,1000,1000
CA,Quebec,M,14,R,161,21,190,2,Bus,75,0.311,35,None,289,283,289,193,1000,1000
USA,MI,M,17,R,175,26,182,1,Car,8,0.504,47,Tennis,50,50,50,50,950,950
USA,NC,M,14,R,140,24,140,1,Bus,20,0.371,54,Running/Jogging,1000,1000,1000,50,80,1000
USA,WI,F,17,L,175,20,180,3,Bus,7,0.345,46,Walking/Hiking,800,400,600,400,600,600
USA,NJ,F,16,R,159,25,165,1,Car,15,0.407,34,Swimming,700,700,900,900,500,600
OZ,Victoria,F,16,R,162,22,162,1,Rail,20,0.39,33,Gymnastics,1000,675,1000,965,385,462
USA,CA,M,13,R,158,15,158,2,SkateBoarding/Rollerblading,8,0.143,55,Football/Soccer,444,1000,1000,1000,567,674
NZ,Auckland,M,14,R,180,25,178,1,Bus,45,0.383,0,Other activities/sports,1000,,500,,,
CA,Ontario,F,12,R,150,23,150,1,Walk,10,1.453,55,Running/Jogging,401,348,599,396,32,166
USA,FL,M,12,R,173,26,173,1,Car,10,0.307,49,Basketball,340,850,300,450,234,850
UK,North West,M,14,R,168,28,166,2,Walk,5,0.28,66,None,689,746,719,789,997,1000
OZ,New South Wales,M,9,R,155,25,161,3,Car,2,0.41,65,Other activities/sports,1000,1000,1000,1000,1000,1000
OZ,New South Wales,M,10,L,160,20,160,1,Car,10,0.47,71,Rugby League,356,379,356,385,1000,521
CA,Quebec,M,6,R,147,24,136,4,Car,15,0.391,38,Football/Soccer,968,963,984,952,59,481
OZ,Queensland,M,14,R,176,25,177,1,Car,4,0.39,49,Rugby League,13,1,533,13,1000,1000
NZ,Bay of Plenty,M,9,R,131,19,128,1,Car,5,0.609,0,Rugby Union,1000,,1000,,,
CA,Quebec,F,11,R,144,22,139,1,Walk,2,0.351,71,Martial Arts,1000,1000,1000,1000,487,492
OZ,New South Wales,F,14,R,163,24,168,2,Car,25,0.48,36,Dancing,421,645,935,492,663,681
OZ,South OZ,M,14,R,151,18,179,1,Car,18,0.29,43,Table Tennis,568,367,580,657,622,699
UK,North West,F,14,R,158,23,152,1,Car,10,0.4,43,Dancing,611,991,729,758,500,767
UK,Channel Islands,M,15,R,175,31,160,2,Bus,30,0.21,30,Football/Soccer,251,600,500,309,727,779
CA,Ontario,M,16,B,101,21,101,9,Boat,60,0.578,24,Table Tennis,11,32,11,16,32,43
UK,Home Counties,M,13,R,151,20,151,1,Walk,12,0.46,51,Cycling,0,0,0,0,1000,1000
USA,MD,F,12,R,155,24,150,2,Bus,7,0.774,55,Basketball,100,100,99,95,44,55
CA,Ontario,F,14,B,159,26,137,2,Car,5,0.347,46,Athletics,439,444,449,433,572,583
OZ,Victoria,F,12,R,148,23,149,1,Walk,7,0.39,39,Netball,414,480,1000,563,210,270
UK,West Midlands,F,13,R,166,25,171,2,Car,7,0.35,32,Dancing,302,244,244,246,832,796
OZ,Victoria,M,14,B,170,27,167,2,Car,10,0.35,37,None,255,,704,178,539,1000
UK,South East,M,14,R,180,28,182,1,Car,20,0.32,32,Other activities/sports,441,313,517,550,500,781
CA,Ontario,F,18,R,169,24,169,1,Bus,42,0.312,40,Other activities/sports,476,481,230,235,888,888
USA,IL,M,11,R,140,22,132,1,Walk,10,0.28,56,Lacrosse,1000,1000,1000,1000,200,200
OZ,Queensland,F,14,R,190,35,183,1,Car,7,0.62,38,Basketball,1000,1000,1000,503,486,699
NZ,Wellington,F,11,R,147,23,144,2,Rail,45,0.423,0,Netball,500,,250,,,
OZ,Queensland,M,12,L,163,20,163,2,Bus,60,0.31,42,None,1000,1000,1000,1000,1000,1000
NZ,Auckland,F,10,R,141,22,146,3,Walk,5,0.483,0,Netball,1000,,750,,,
CA,Nova Scotia,M,11,R,140,24,141,1,Walk,5,0.266,51,Other activities/sports,695,561,717,647,1000,1000
NZ,Auckland,M,9,R,122,20,126,1,Car,15,0.421,0,Football/Soccer,500,,750,,,
CA,Newfoundland and Labrador,M,13,B,150,29,146,1,Bus,15,0.839,74,Cycling,626,620,332,449,203,246
USA,MA,F,17,R,168,26,163,2,Car,14,0.532,23,Tennis,500,500,700,700,1000,1000
UK,East Midlands,M,13,R,157,25,160,1,Walk,30,0.39,36,Cycling,171,133,122,122,501,514
NZ,Wellington,M,10,R,146,22,140,1,Car,5,0.407,0,Hockey (Field),1000,,1000,,,
CA,Alberta,F,11,R,135,23,143,1,Car,15,0.453,63,Football/Soccer,465,578,487,1000,310,524
OZ,New South Wales,M,14,R,167,27,175,1,Walk,10,0.33,37,Rugby League,675,1000,693,509,1000,1000
CA,Ontario,F,16,R,166,28,161,2,Car,5,0.297,42,Athletics,882,882,882,898,1000,1000
CA,Ontario,M,14,R,148,23,130,2,Board,3,0.971,54,Bowling,1000,444,1000,1000,1000,1000
NZ,Otago,F,14,R,158,26,158,2,Walk,15,0.428,0,Netball,750,,500,,,
UK,North West,F,13,R,171,25,168,1,Walk,20,0.73,32,Dancing,577,712,400,485,722,850
UK,Home Counties,M,15,R,172,28,176,2,Car,22,0.17,37,Golf,1000,1000,1000,500,1000,1000
OZ,New South Wales,F,16,R,163,32,166,9,Bus,15,0.28,35,Netball,675,781,687,539,634,888
OZ,Victoria,F,10,R,134,20,132,1,Car,2,0.4,36,Tennis,598,734,1000,539,297,326
OZ,New South Wales,F,9,R,145,23,143,1,Car,5,0.43,71,Netball,592,693,533,545,,462
OZ,South OZ,M,16,R,174,25,175,1,Bus,35,0.42,40,Cricket,196,143,515,285,787,817
CA,Ontario,M,13,R,160,25,164,2,Bus,10,0.515,31,Hockey (Ice),481,674,834,663,850,856
UK,Home Counties,M,13,R,170,27,165,2,Car,10,0.48,63,Skateboarding/Rollerblading,393,684,696,372,750,770
USA,TX,F,11,R,143,21,148,2,Car,5,0.801,46,Other,500,1000,1000,1000,0,1
OZ,Western OZ,F,10,R,152,22,152,1,Walk,7,0.4,32,Netball,533,557,314,503,320,356
CA,Ontario,F,17,R,157,23,154,2,Walk,5,0.436,36,Swimming,1000,594,1000,1000,1000,888
OZ,Western OZ,M,11,R,150,25,150,1,Car,4,0.39,44,Swimming,172,456,474,598,444,427
OZ,Victoria,F,15,R,154,23,149,1,Car,3,0.36,37,Dancing,1000,1000,1000,1000,1000,1000
NZ,Auckland,M,11,B,140,40,150,2,Bus,45,1.693,0,Swimming,1000,,1000,,,
UK,East Midlands,F,12,R,163,24,162,1,Car,30,0.59,34,Swimming,582,687,488,680,284,383
OZ,South OZ,F,12,R,152,22,137,1,Car,10,0.35,41,Gymnastics,710,699,716,681,480,622
CA,Ontario,M,12,R,154,24,160,1,Bus,10,0.474,58,Baseball/Softball,1000,1000,513,1000,32,59
OZ,South OZ,M,6,R,171,28,172,1,Bus,20,0.41,38,Other activities/sports,650,480,728,834,1000,1000
OZ,Victoria,F,16,R,167,24,173,2,Bus,14,0.37,35,Netball,533,799,970,746,1000,1000
UK,North West,M,13,R,165,26,161,3,Walk,2,0,35,Other activities/sports,192,197,331,380,624,653
CA,Newfoundland and Labrador,F,13,L,154,23,156,4,Car,4,1.265,46,Bowling,332,481,797,102,1000,1000
OZ,Western OZ,M,13,R,163,14,163,3,Bus,70,0,31,Rugby Union,279,492,373,503,125,297
OZ,New South Wales,F,12,R,155,20,145,1,Walk,30,0.62,99,Golf,1000,1000,1000,1000,267,267
OZ,South OZ,M,17,R,175,30,172,2,Walk,1,0.26,30,Tennis,710,379,1000,125,834,764
OZ,New South Wales,F,17,R,170,10,170,1,Bus,30,0.41,38,Swimming,498,503,492,617,324,515
USA,MA,M,14,R,175,20,165,1,Bus,30,0.388,82,Running/Jogging,400,500,300,200,900,800
OZ,Victoria,F,12,R,165,24,152,2,Car,15,0.32,34,Football/Soccer,1000,1000,1000,1000,1000,1000
CA,Ontario,F,13,L,158,25,170,1,Car,5,0.437,41,Dancing,829,182,128,257,1000,1000
USA,GA,F,16,R,152,23,150,2,Bus,45,0.5,34,Other,642,524,529,,743,904
USA,NC,F,17,R,170,27,170,1,Car,5,0.383,32,Football/Soccer,500,600,1000,1000,100,500
USA,FL,F,16,R,167,23,166,3,Car,35,0.312,36,Other,800,800,800,900,1000,1000
CA,Ontario,M,13,R,165,26,158,5,Cycle,18,0.485,50,Swimming,1000,1000,1000,1000,5,5
CA,Ontario,M,14,R,169,28,160,2,Car,15,0.42,63,Hockey (Ice),711,615,711,551,824,759
OZ,Western OZ,F,15,R,161,24,165,2,Car,5,0.31,31,Netball,852,568,474,356,42,42
CA,Alberta,F,9,R,134,23,132,2,Car,5,1.472,99,Swimming,1000,524,1000,1000,289,257
UK,East,M,11,L,148,21,145,2,Car,8,0.48,62,Swimming,0,806,452,677,839,774
OZ,Queensland,M,14,R,159,24,165,2,Walk,20,0.04,37,Football/Soccer,332,433,533,356,385,467
UK,CA,M,14,R,172,25,174,2,Bus,15,0.25,80,Table Tennis,703,729,647,878,230,252
OZ,New South Wales,M,13,R,165,25,162,1,Car,25,0.4,47,Rugby Union,1000,1000,740,1000,675,1000
OZ,New South Wales,F,10,R,142,22,142,1,Bus,10,0.4,41,Dancing,320,716,362,415,403,237
CA,Alberta,M,16,R,176,26,177,1,Bus,33,0.314,40,Tennis,690,759,369,610,1000,1000
NZ,Manawatu-Wanganui,F,13,R,171,21,176,1,Car,5,0.535,0,Dancing,1000,,1000,,,
UK,South West,M,13,R,154,25,155,1,Walk,5,0.68,26,Skateboarding/Rollerblading,1000,1000,1000,1000,500,1000
USA,ID,F,17,R,164,23,162,1,Car,5,0.422,37,Tennis,1000,1000,900,,500,550
OZ,Queensland,M,11,R,144,22,136,1,Bus,90,0.4,42,Rugby League,1000,1000,1000,1000,716,628
USA,GU,F,15,R,151,19,152,1,Bus,20,0,3,Football/Soccer,99,99,99,99,100,100
CA,Ontario,F,11,R,144,22,141,2,Walk,5,0.344,37,Dancing,1000,1000,1000,460,465,471
OZ,New South Wales,F,14,R,160,23,152,1,Bus,20,0.39,37,Other activities/sports,261,326,468,563,291,503
CA,Ontario,M,12,R,146,23,146,2,Walk,7,0.344,43,Martial Arts,829,749,588,963,166,246
NZ,Auckland,F,15,R,164,23,164,1,Car,5,0,0,Netball,750,,250,,,
OZ,New South Wales,F,13,R,160,22,148,1,Cycle,15,0.48,0,Other activities/sports,1000,1000,1000,1000,403,409
OZ,Western OZ,F,9,R,169,25,173,1,Car,4,0.34,28,Netball,622,616,486,811,710,805
CA,Ontario,F,16,R,172,27,169,1,Car,5,0.459,43,Athletics,396,422,1000,1000,572,1000
UK,South,F,12,R,154,23,144,2,Walk,45,0.34,201,Netball,743,806,718,606,535,562
NZ,Auckland,F,12,L,155,24,160,1,Bus,45,1.117,0,Dancing,750,,500,,,
USA,GA,F,11,R,115,25,110,1,Car,10,0,30,Football (American),50,50,1000,1000,1000,1000
CA,New Brunswick,F,17,R,167,22,156,1,Bus,20,0.407,41,Football/Soccer,717,781,754,759,781,786
UK,South,M,14,R,151,23,144,2,Walk,15,0.53,40,Football/Soccer,863,927,920,927,933,949
CA,Ontario,F,10,R,132,18,136,2,Car,3,0.608,42,Swimming,952,594,433,866,765,455
OZ,Queensland,F,17,R,163,25,163,1,Car,5,0.29,25,Tennis,527,545,657,699,917,923
CA,Ontario,M,14,R,165,27,165,1,Cycle,2,0.281,37,Other activities/sports,759,326,118,540,1000,1000
OZ,Victoria,M,14,R,174,27,183,1,Car,25,0.42,48,Tennis,1000,1000,1000,1000,1000,1000
CA,Ontario,F,19,R,163,22,161,2,Walk,20,0.642,30,None,802,658,513,524,390,717
OZ,Queensland,F,10,R,139,20,134,2,Car,4,0.34,32,Gymnastics,1,970,1000,1000,888,799
NZ,Auckland,F,10,L,134,20,136,3,Car,5,0.452,0,Other activities/sports,500,,1000,,,
UK,Northern Ireland,M,12,R,165,27,168,1,Bus,20,0.5,59,Football/Soccer,684,684,639,701,595,606
CA,Ontario,M,14,L,152,20,150,3,Bus,15,0.33,51,Football/Soccer,48,27,487,214,1000,1000
OZ,New South Wales,M,8,R,162,25,163,1,Car,3,0.43,70,Cricket,598,598,586,586,232,263
NZ,Wellington,M,13,R,155,25,142,1,Walk,45,0,0,None,250,,250,,,
OZ,New South Wales,F,11,R,156,24,148,3,Walk,10,0.59,37,Dancing,1000,755,1000,1000,37,264
CA,Saskatchewan,M,14,R,175,28,182,1,Walk,2,0.344,55,Hockey (Ice),1000,1000,1000,1000,503,503
USA,FL,M,17,R,180,30,186,1,Car,10,0.235,50,Basketball,456,785,455,,1000,1000
UK,North West,M,12,R,149,23,154,1,Walk,10,0.31,49,Football/Soccer,934,697,659,689,424,567
CA,Ontario,M,10,R,158,26,164,2,Walk,10,0.391,40,Football/Soccer,1000,1000,1000,1000,214,203
OZ,Western OZ,F,6,R,170,25,168,2,Car,5,0.39,56,Basketball,503,498,498,498,580,592
USA,TX,F,17,R,165,23,172,1,Car,7,0.25,34,Walking/Hiking,551,722,668,,1000,1000
OZ,Queensland,F,14,R,162,22,150,1,Other,0,1.2,0,Swimming,314,462,929,125,1000,1000
NZ,Auckland,M,11,R,140,22,170,1,Car,5,0.415,0,Football/Soccer,750,,750,,,
UK,North West,F,14,R,169,25,169,3,Car,15,0.46,39,Hockey (Field),625,423,380,239,823,859
CA,Ontario,M,14,L,175,28,168,2,Walk,1,0.522,66,Hockey (Field),449,631,588,636,973,1000
USA,VA,M,17,R,162,23,154,1,Car,5,0.271,32,Basketball,679,610,818,717,299,668
USA,OH,M,10,R,147,23,150,1,Car,20,0.7,4,Football/Soccer,0,0,0,100,,
UK,West Midlands,M,13,R,153,20,90,1,Car,20,0.53,30,Athletics,696,1000,585,500,1000,1000
CA,British Columbia,M,12,R,179,27,170,2,Car,7,0.822,69,Swimming,952,535,1000,647,610,604
USA,GA,F,11,R,155,21,159,3,Bus,12,0.39,27,Athletics,941,503,874,,468,345
OZ,New South Wales,M,10,R,146,22,137,1,Car,2,0.4,46,Football/Soccer,1000,970,876,799,208,196
USA,NM,F,17,R,171,22,174,2,Car,9,0.261,44,Baseball/Softball,800,200,900,,700,600
OZ,Western OZ,M,14,L,164,25,160,2,Walk,3,0.42,60,Football/Soccer,196,,758,415,521,521
NZ,Auckland,M,12,R,160,23,131,1,Bus,25,0.392,0,Football/Soccer,1000,,1000,,,
OZ,New South Wales,F,14,R,152,23,152,2,Car,15,0.42,54,Dancing,480,155,302,586,373,226
NZ,Auckland,F,13,L,159,22,164,1,Walk,5,1.172,0,Netball,750,,250,,,
OZ,New South Wales,F,12,R,136,19,140,2,Car,15,0.73,58,Other activities/sports,1000,701,1000,641,,
OZ,Victoria,F,12,B,164,23,155,1,Bus,60,0.37,34,Bowling,764,775,604,905,237,503
UK,North West,F,14,R,159,26,158,1,Walk,15,0.62,62,Skateboarding/Rollerblading,648,443,859,566,500,1000
OZ,New South Wales,F,10,R,138,21,135,1,Car,5,0.65,44,Netball,610,610,834,586,297,308
USA,NY,F,13,L,152,25,155,1,Walk,15,1,42,Dancing,6,3,8,9,9,9
UK,North East,M,12,R,172,21,154,1,Bus,20,0.4,53,Football/Soccer,593,573,500,500,595,389
OZ,New South Wales,F,11,R,166,24,166,1,Car,15,0.37,31,Football/Soccer,1000,1000,1000,1000,486,492
UK,South East,F,12,R,163,23,155,1,Walk,20,0.46,84,Swimming,1000,998,700,1000,508,500
OZ,Victoria,F,12,R,153,22,135,2,Car,6,0.4,29,Other activities/sports,1000,462,1000,775,326,326
OZ,Western OZ,F,11,R,145,21,145,2,Car,20,0.29,39,Netball,161,155,202,54,991,1000
UK,America,M,12,R,173,28,172,1,Car,25,0.42,36,Swimming,778,937,701,942,160,208
OZ,New South Wales,F,9,R,126,19,128,1,Car,2,0.5,54,Tennis,935,858,574,775,852,486
OZ,Victoria,M,8,R,146,11,146,1,Walk,5,0.34,39,Rugby League,994,675,1000,214,202,563
OZ,South OZ,M,13,R,170,27,174,2,Car,10,0.33,38,Athletics,1000,1000,1000,1000,1000,586
CA,Ontario,M,13,R,160,25,159,1,Bus,15,0.906,43,Skateboarding/Rollerblading,615,722,476,588,460,369
USA,MA,M,17,R,180,23,179,2,Bus,10,0.345,51,None,300,100,500,800,900,900
USA,MN,F,17,R,173,27,152,1,Car,15,0.42,27,Football (American),642,561,380,497,350,745
UK,South,F,13,R,142,22,142,1,Walk,15,0,35,Tennis,394,1000,287,1000,1000,1000
CA,British Columbia,F,14,R,165,33,165,2,Walk,20,0.36,32,Swimming,449,727,770,636,984,995
CA,Quebec,F,12,R,162,24,165,2,Car,30,0.799,27,Swimming,1000,503,396,524,1000,1000
CA,Alberta,F,15,R,164,22,161,1,Bus,5,0.3,41,Basketball,925,866,952,615,471,925
OZ,Tasmania,F,13,R,162,24,164,1,Bus,22,0.48,39,Netball,350,574,1000,720,1,
NZ,Canterbury,M,9,R,143,20,143,1,Car,5,0.632,0,Basketball,500,,750,,,
UK,East,F,14,R,152,26,154,2,Car,10,0,34,Other activities/sports,1000,1000,1000,1000,409,682
OZ,Western OZ,M,6,B,140,25,125,1,Car,15,0.38,63,Tennis,1000,338,1000,107,,
CA,Ontario,F,13,R,138,23,175,2,Bus,70,0.39,33,Bowling,866,856,850,861,866,834
NZ,Canterbury,F,13,R,164,24,164,1,Car,5,0.982,0,Netball,750,,500,,,
NZ,Waikato,M,10,R,152,30,98,2,Walk,5,0,0,Swimming,1000,,1000,,,
UK,South,F,11,R,158,23,157,1,Car,15,0.4,52,Other activities/sports,783,679,646,647,137,500
CA,Ontario,M,14,R,176,28,173,1,Bus,10,0.156,69,Football/Soccer,1000,508,989,1000,492,706
