stadium,city,state,College,conference,capacity,built,expanded,div,latitude,longitude
Dowdy-Ficklen Stadium,Greenville,NC,East Carolina University,American,50000,1963,2010,fbs,35.5964258,-77.36522913
Carter-Finley Stadium,Raleigh,NC,North Carolina State University,ACC,57583,1966,2006,fbs,35.80075968,-78.71948719
Kenan Memorial Stadium,Chapel Hill,NC,University of North Carolina at Chapel Hill,ACC,62980,1927,2011,fbs,35.90698835,-79.04791832
BB&T Field,Winston-Salem,NC,Wake Forest University,ACC,31500,1968,2007,fbs,36.09183481,-80.25534153
Memorial Stadium,Lincoln,NE,University of Nebraska,Big Ten,87091,1923,2013,fbs,40.82048352,-96.70571566
Memorial Field,Hanover,New Hampshire,Dartmouth College,Ivy,15000,1923,,fcs,43.70127219,-72.28477632
Cowell Stadium,Durham,New Hampshire,University of New Hampshire,CAA,8000,1936,,fcs,43.13868644,-70.93915254
Kessler Field,West Long Branch,New Jersey,Monmouth University,Big South,4000,1993,,fcs,40.27933332,-74.00947452
Princeton University Stadium,Princeton,New Jersey,Princeton University,Ivy,27800,1998,,fcs,40.34822037,-74.65908408
Bob Ford Field,Albany,New York,University at Albany,CAA,8500,2013,,fcs,42.68154416,-73.8277173
Andy Kerr Stadium,Hamilton,New York,Colgate University,Patriot,10221,1966,1991,fcs,42.81652725,-75.54581165
Lawrence A. Wien Stadium,Manhattan,New York,Columbia University,Ivy,17000,1984,,fcs,40.87231892,-73.91571406
Schoellkopf Field,Ithaca,New York,Cornell University,Ivy,25597,1915,2006,fcs,42.44401296,-76.47868395
Coffey Field,The Bronx,New York,Fordham University,Patriot,7000,1930,,fcs,40.86118054,-73.88327122
Leonidoff Field,Poughkeepsie,New York,Marist College,Pioneer,5000,1968,2007,fcs,41.71892738,-73.93262386
Kenneth P. LaValle Stadium,Stony Brook,New York,Stony Brook University,CAA,8200,2002,,fcs,40.9183122,-73.12404513
Wagner College Stadium,Staten Island,New York,Wagner College,Northeast,3300,1967,,fcs,40.61732454,-74.09543124
High Point Solutions Stadium,Piscataway,NJ,Rutgers University,Big Ten,52454,1994,2009,fbs,40.51378289,-74.46504457
University Stadium,Albuquerque,NM,University of New Mexico,Mountain West,39224,1960,2007,fbs,35.06761048,-106.6281028
Aggie Memorial Stadium,Las Cruces,NM,New Mexico State University,Sun Belt,30343,1978,2005,fbs,32.27974938,-106.7411363
Barker-Lane Stadium,Buies Creek,North Carolina,Campbell University,Pioneer,5000,2008,,fcs,35.40471835,-78.74297959
Richardson Stadium,Davidson,North Carolina,Davidson College,Pioneer,6000,1923,1998,fcs,35.49958483,-80.84345239
Rhodes Stadium,Elon,North Carolina,Elon University,CAA,11250,2001,,fcs,36.10987437,-79.50768113
Ernest W. Spangler Stadium,Boiling Springs,North Carolina,Gardner-Webb University,Big South,8500,1969,,fcs,35.24566866,-81.6737428
Aggie Stadium,Greensboro,North Carolina,North Carolina A&T State University,MEAC,21500,1981,,fcs,36.08127442,-79.770087
O'Kelly-Riddick Stadium,Durham,North Carolina,North Carolina Central University,MEAC,10000,1975,,fcs,35.97388812,-78.8968941
E. J. Whitmire Stadium,Cullowhee,North Carolina,Western Carolina University,Southern,13742,1974,,fcs,35.30465405,-83.18261862
Alerus Center,Grand Forks,North Dakota,University of North Dakota,Big Sky,12283,2001,,fcs,47.91125416,-97.09048685
Fargodome,Fargo,North Dakota,North Dakota State University,Missouri Valley,19000,1992,,fcs,46.90290763,-96.80152222
Mackay Stadium,Reno,NV,University of Nevada,Mountain West,30000,1966,2016,fbs,39.54692485,-119.8175597
Sam Boyd Stadium,Whitney,NV,University of Nevada-Las Vegas,Mountain West,36800,1971,1999,fbs,36.08597388,-115.0171137
Michie Stadium,West Point,NY,Army,Independent,38000,1924,2001,fbs,41.38708043,-73.96408081
UB Stadium,Amherst,NY,University at Buffalo,MAC,29013,1993,,fbs,42.99906838,-78.77751946
Carrier Dome,Syracuse,NY,Syracuse University,ACC,49250,1980,,fbs,43.03613282,-76.13651991
Summa Field at InfoCision Stadium,Akron,OH,University of Akron,MAC,30000,2009,,fbs,41.07256952,-81.50838375
Doyt Perry Stadium,Bowling Green,OH,Bowling Green State University,MAC,23724,1966,,fbs,41.3780544,-83.62248212
Nippert Stadium,Cincinnati,OH,University of Cincinnati,American,40000,1924,2015,fbs,39.13128425,-84.51626144
Dix Stadium,Kent,OH,Kent State University,MAC,25000,1969,2008,fbs,41.13908683,-81.31343946
Yager Stadium,Oxford,OH,Miami University of Ohio,MAC,24286,1983,2005,fbs,39.51942113,-84.7333545
Peden Stadium,Athens,OH,Ohio University,MAC,24000,1929,2001,fbs,39.32130908,-82.10343945
Ohio Stadium,Columbus,OH,Ohio State University,Big Ten,104944,1922,2014,fbs,40.00168569,-83.01972806
Glass Bowl,Toledo,OH,University of Toledo,MAC,26248,1937,1990,fbs,41.65739078,-83.61401719
Welcome Stadium,Dayton,Ohio,University of Dayton,Pioneer,11000,1949,1974,fcs,39.736938,-84.19878666
Stambaugh Stadium,Youngstown,Ohio,Youngstown State University,Missouri Valley,20650,1982,,fcs,41.10946146,-80.64997629
Gaylord Family Oklahoma Memorial Stadium,Norman,OK,University of Oklahoma,Big 12,82112,1925,2003,fbs,35.20589959,-97.44255066
Boone Pickens Stadium,Stillwater,OK,Oklahoma State University,Big 12,60218,1919,2005,fbs,36.12570866,-97.06650496
Skelly Field at H. A. Chapman Stadium,Tulsa,OK,University of Tulsa,American,35542,1930,2005,fbs,36.14886068,-95.94360352
Autzen Stadium,Eugene,OR,University of Oregon,Pac-12,54000,1967,2002,fbs,44.05827272,-123.0685043
Reser Stadium,Corvallis,OR,Oregon State University,Pac-12,45674,1953,2005,fbs,44.55947684,-123.2814074
Providence Park,Portland,Oregon,Portland State University,Big Sky,19566,1926,2001,fcs,45.52155597,-122.6917398
Beaver Stadium,University Park,PA,Pennsylvania State University,Big Ten,106572,1960,2001,fbs,40.81215273,-77.85620213
Heinz Field,Pittsburgh,PA,University of Pittsburgh,ACC,68400,2001,,fbs,40.44678377,-80.01575589
Lincoln Financial Field,Philadelphia,PA,Temple University,American,68532,2003,,fbs,39.9007489,-75.16749144
Christy Mathewson-Memorial Stadium,Lewisburg,Pennsylvania,Bucknell University,Patriot,13100,1924,1989,fcs,40.95207736,-76.88574565
Arthur J. Rooney Athletic Field,Pittsburgh,Pennsylvania,Duquesne University,Northeast,2200,1993,2011,fcs,40.43562178,-79.99015091
Fisher Field,Easton,Pennsylvania,Lafayette College,Patriot,13132,1926,,fcs,40.70072657,-75.21024133
Goodman Stadium,Bethlehem,Pennsylvania,Lehigh University,Patriot,16000,1988,,fcs,40.58912371,-75.35546064
Franklin Field,Philadelphia,Pennsylvania,University of Pennsylvania,Ivy,52593,1895,,fcs,39.949885,-75.18980742
Joe Walton Stadium,Moon Township,Pennsylvania,Robert Morris University,Northeast,3000,2005,,fcs,40.52117231,-80.2162993
DeGol Field,Loretto,Pennsylvania,Saint Francis University,Northeast,3500,2006,,fcs,40.50635956,-78.63697299
Villanova Stadium,Villanova,Pennsylvania,Villanova University,CAA,12500,1927,,fcs,40.03297069,-75.33674955
Brown Stadium,Providence,Rhode Island,Brown University,Ivy,20000,1925,,fcs,41.84214547,-71.39464611
Bulldog Stadium,Smithfield,Rhode Island,Bryant University,Northeast,4400,1999,,fcs,41.92404512,-71.53801189
Meade Stadium,Kingston,Rhode Island,University of Rhode Island,CAA,5180,1928,2003,fcs,41.48805753,-71.53452264
Memorial Stadium,Clemson,SC,Clemson University,ACC,81500,1942,2006,fbs,34.67874666,-82.8431797
Williams-Brice Stadium,Columbia,SC,University of South Carolina,SEC,80250,1934,1996,fbs,33.97259115,-81.02021635
Buccaneer Field,North Charleston,South Carolina,Charleston Southern University,Big South,4000,1970,,fcs,32.97835006,-80.06846858
Brooks Stadium,Conway,South Carolina,Coastal Carolina University,Big South,9214,2003,20062010,fcs,33.79283818,-79.01702283
Paladin Stadium,Greenville,South Carolina,Furman University,Southern,16000,1981,1985,fcs,34.91983652,-82.43776898
Bailey Memorial Stadium,Clinton,South Carolina,Presbyterian College,Big South,6500,2002,,fcs,34.46055713,-81.86198098
Oliver C. Dawson Stadium,Orangeburg,South Carolina,South Carolina State University,MEAC,22000,1955,,fcs,33.49876701,-80.84493355
Johnson Hagood Stadium,Charleston,South Carolina,The Citadel,Southern,21000,1948,2008,fcs,32.79326346,-79.95643189
Gibbs Stadium,Spartanburg,South Carolina,Wofford College,Southern,13000,1996,,fcs,34.96186102,-81.93349821
DakotaDome,Vermillion,South Dakota,University of South Dakota,Missouri Valley,10000,1979,2007,fcs,42.79105026,-96.92752016
Coughlin-Alumni Stadium,Brookings,South Dakota,South Dakota State University,Missouri Valley,15000,1962,,fcs,44.32097739,-96.78015232
Governors Stadium,Clarksville,Tennessee,Austin Peay State University,Ohio Valley,10000,1946,2014,fcs,36.5358123,-87.35285282
Finley Stadium,Chattanooga,Tennessee,University of Tennessee at Chattanooga,Southern,20668,1997,,fcs,35.03604045,-85.31576872
Kermit Tipton Stadium,Johnson City,Tennessee,East Tennessee State University,Southern,6600,2010,,fcs,36.32708674,-82.37694179
LP Field,Nashville,Tennessee,Tennessee State University,Ohio Valley,68798,1999,,fcs,36.166927,-86.771469
Tucker Stadium,Cookeville,Tennessee,Tennessee Technological University,Ohio Valley,16500,1966,,fcs,36.17758324,-85.50654888
Graham Stadium,Martin,Tennessee,University of Tennessee at Martin,Ohio Valley,8000,1964,,fcs,36.34473727,-88.86117697
Shotwell Stadium,Abilene,Texas,Abilene Christian University,Southland,15075,1959,2002,fcs,32.43380201,-99.69736576
Husky Stadium,Houston,Texas,Houston Baptist University,Southland,5000,2014,,fcs,29.75225056,-95.35233736
Gayle and Tom Benson Stadium,San Antonio,Texas,Incarnate Word,Southland,6000,2008,2010,fcs,29.46728343,-98.46986132
Provost Umphrey Stadium,Beaumont,Texas,Lamar University,Southland,16000,1964,2009-2010,fcs,30.04315005,-94.06990721
Blackshear Field,Prairie View,Texas,Prairie View A&M University,SWAC,6000,1960,,fcs,30.09115259,-95.99441528
Bowers Stadium,Huntsville,Texas,Sam Houston State University,Southland,14000,1986,1986,fcs,30.71394674,-95.54191589
Homer Bryce Stadium,Nacogdoches,Texas,Stephen F. Austin State University,Southland,15000,1973,2003,fcs,31.62544764,-94.64499716
BBVA Compass Stadium,Houston,Texas,Texas Southern University,SWAC,22039,2012,,fcs,29.75225056,-95.35233736
Liberty Bowl Memorial Stadium,Memphis,TN,University of Memphis,American,62380,1965,1987,fbs,35.12085692,-89.97805741
"Johnny ""Red"" Floyd Stadium",Murfreesboro,TN,Middle Tennessee State University,C-USA,31000,1933,1998,fbs,35.85110908,-86.36844993
Neyland Stadium,Knoxville,TN,University of Tennessee,SEC,102455,1921,2010,fbs,35.95473437,-83.92533302
Vanderbilt Stadium,Nashville,TN,Vanderbilt University,SEC,40350,1922,2004,fbs,36.1435585,-86.80877209
McLane Stadium,Waco,TX,Baylor University,Big 12,45140,2014,,fbs,31.55866264,-97.11560011
TDECU Stadium,Houston,TX,University of Houston,American,40000,2014,,fbs,29.72176796,-95.34909841
Apogee Stadium,Denton,TX,University of North Texas,C-USA,30850,2011,,fbs,33.20393508,-97.15922356
Rice Stadium,Houston,TX,Rice University,C-USA,47000,1950,,fbs,29.71623403,-95.40926456
Gerald J. Ford Stadium,University Park,TX,Southern Methodist University,American,32000,2000,,fbs,32.83771581,-96.78270578
Amon G. Carter Stadium,Fort Worth,TX,Texas Christian University,Big 12,45000,1929,2012,fbs,32.70991597,-97.36799598
Darrell K Royal-Texas Memorial Stadium,Austin,TX,University of Texas,Big 12,100119,1924,2009,fbs,30.2836034,-97.73233652
Kyle Field,College Station,TX,Texas A&M University,SEC,102733,1927,2015,fbs,30.61009758,-96.34072923
Bobcat Stadium,San Marcos,TX,Texas State University,Sun Belt,30000,1981,2012,fbs,29.89134455,-97.92531181
Jones AT&T Stadium,Lubbock,TX,Texas Tech University,Big 12,60862,1947,2013,fbs,33.5910283,-101.8729377
Sun Bowl Stadium,El Paso,TX,University of Texas at El Paso,C-USA,51500,1963,1981,fbs,31.77334531,-106.5078968
Alamodome,San Antonio,TX,University of Texas at San Antonio,C-USA,65000,1993,,fbs,29.41693713,-98.47890258
LaVell Edwards Stadium,Provo,UT,Brigham Young University,Independent,63725,1964,1982,fbs,40.257488,-111.654439
Rice-Eccles Stadium,Salt Lake City,UT,University of Utah,Pac-12,45017,1998,1998,fbs,40.75994782,-111.848824
Romney Stadium,Logan,UT,Utah State University,Mountain West,25513,1968,1980,fbs,41.75153189,-111.8121057
Eccles Coliseum,Cedar City,Utah,Southern Utah University,Big Sky,8500,1967,1997,fcs,37.67566875,-113.0774903
Stewart Stadium,Ogden,Utah,Weber State University,Big Sky,17000,1966,,fcs,41.19197302,-111.9408058
Foreman Field,Norfolk,VA,Old Dominion University,C-USA,20118,1936,2009,fbs,36.88878132,-76.3056761
Scott Stadium,Charlottesville,VA,University of Virginia,ACC,61500,1931,2000,fbs,38.03112373,-78.51370811
Lane Stadium,Blacksburg,VA,Virginia Tech University,ACC,66233,1965,2005,fbs,37.21997428,-80.41805506
Armstrong Stadium,Hampton,Virginia,Hampton University,MEAC,17000,1928,1999,fcs,37.02070612,-76.33395552
Bridgeforth Stadium,Harrisonburg,Virginia,James Madison University,CAA,24878,1975,2011,fcs,38.43508894,-78.8734033
Williams Stadium,Lynchburg,Virginia,Liberty University,Big South,19200,1989,2010,fcs,37.354414,-79.175047
"William ""Dick"" Price Stadium",Norfolk,Virginia,Norfolk State University,MEAC,30000,1997,,fcs,36.84669305,-76.26048088
E. Claiborne Robins Stadium,Richmond,Virginia,University of Richmond,CAA,9000,2010,,fcs,37.57786501,-77.54397154
Alumni Memorial Field,Lexington,Virginia,Virginia Military Institute,Southern,10000,1962,2006,fcs,37.78867675,-79.43499757
Zable Stadium,Williamsburg,Virginia,College of William & Mary,CAA,12259,1935,,fcs,37.27306246,-76.71422482
Husky Stadium,Seattle,WA,University of Washington,Pac-12,70500,1920,2012,fbs,47.65043054,-122.3029198
Martin Stadium,Pullman,WA,Washington State University,Pac-12,32248,1972,2000,fbs,46.73196798,-117.1605858
Roos Field,Cheney,Washington,Eastern Washington University,Big Sky,8600,1967,,fcs,47.49270377,-117.588129
Cooper Field,Georgetown,Washington D.C.,Georgetown University,Patriot,2500,2005,,fcs,38.90803281,-77.07540035
Camp Randall Stadium,Madison,WI,University of Wisconsin at Madison,Big Ten,80321,1917,2005,fbs,43.06993803,-89.41274643
Joan C. Edwards Stadium,Huntington,WV,Marshall University,C-USA,38019,1991,2000,fbs,38.42486536,-82.42185831
Mountaineer Field at Milan Puskar Stadium,Morgantown,WV,West Virginia University,Big 12,60000,1980,2004,fbs,39.65221992,-79.9551753
War Memorial Stadium,Laramie,WY,University of Wyoming,Mountain West,29181,1950,2010,fbs,41.31193599,-105.5690646
